x,y
0,0
7.27481E-05,15.60261917
0.000145495,31.2055645
0.000254615,54.61055756
0.000418292,89.71931458
0.0006638,142.3853455
0.001032048,221.3908386
0.001584386,339.9135437
0.002301018,491.9046631
0.002966342,622.5939331
0.003332658,693.0751343
0.003726378,781.0632935
0.004473582,832.5167236
0.005537032,836.7876587
0.006586132,841.0203247
0.00759985,845.1181641
0.008473326,848.6756592
0.009229562,851.7828979
0.009965663,854.8015137
0.010691073,857.7632446
0.011410131,860.682251
0.012123453,863.5612793
0.012836007,866.4172974
0.013548294,869.2528076
0.01426078,872.069519
0.014973848,874.8684692
0.015687827,877.6513062
0.016403016,880.4186401
0.017119683,883.1719971
0.017838063,885.9126587
0.018558389,888.6408691
0.019280862,891.3579102
0.020005669,894.06427
0.020733003,896.7597046
0.021463029,899.4452515
0.022195904,902.1226807
0.022931783,904.7918701
0.023670828,907.4515381
0.024413157,910.1050415
0.025158936,912.7496948
0.025908282,915.3884277
0.026661329,918.020752
0.027418215,920.6456299
0.028179055,923.265625
0.028943984,925.8796997
0.029713122,928.487854
0.030486584,931.0916748
0.031264503,933.6896362
0.032046989,936.2831421
0.032834165,938.8727417
0.03362615,941.4573975
0.034423057,944.038147
0.035225015,946.6152954
0.036032133,949.1886597
0.036844537,951.7584839
0.037662346,954.3240967
0.038485676,956.8869629
0.039314657,959.4462891
0.040149394,962.0032959
0.040990025,964.5567627
0.041836664,967.1080322
0.04268945,969.6559448
0.043548487,972.2017212
0.044413913,974.7451782
0.045285862,977.2855225
0.046164457,979.8236084
0.04704982,982.3599854
0.047942098,984.8937988
0.048841424,987.4262085
0.049747925,989.9555664
0.050661739,992.4834595
0.051583014,995.0090332
0.052511889,997.5328979
0.053448517,1000.055237
0.054392997,1002.57428
0.055345535,1005.097229
0.056306221,1007.612793
0.057275325,1010.126892
0.058252897,1012.634644
0.059239101,1015.148254
0.060234129,1017.657898
0.061238099,1020.166443
0.062251203,1022.671204
0.063273586,1025.180298
0.064305425,1027.684448
0.065346979,1030.183838
0.066398315,1032.679321
0.067459628,1035.181152
0.068531111,1037.67981
0.069612987,1040.166016
0.070705384,1042.660156
0.071808487,1045.15271
0.072922513,1047.640747
0.074047737,1050.12561
0.075184233,1052.607056
0.076332219,1055.087769
0.077491954,1057.566528
0.078663662,1060.042725
0.079847485,1062.516724
0.08104369,1064.98938
0.08225248,1067.460938
0.083474033,1069.922119
0.084708661,1072.389404
0.085956551,1074.845703
0.087217882,1077.302368
0.08849299,1079.758667
0.089782052,1082.211914
0.091085352,1084.653442
0.092403084,1087.098389
0.093735553,1089.539917
0.095082946,1091.977051
0.096445665,1094.404175
0.097823828,1096.831665
0.099217735,1099.250366
0.100627668,1101.670532
0.102053881,1104.082886
0.10349679,1106.488403
0.104956433,1108.895752
0.106433272,1111.289185
0.107927635,1113.678589
0.1094395,1116.062744
0.110969603,1118.44165
0.112517983,1120.810913
0.114084885,1123.180786
0.115670785,1125.539185
0.117275894,1127.890869
0.118900627,1130.233398
0.120545104,1132.567993
0.122209847,1134.895142
0.123895034,1137.216919
0.125600964,1139.526978
0.127328187,1141.827271
0.129076853,1144.118896
0.13084729,1146.400757
0.132639781,1148.679688
0.134454727,1150.939087
0.136292607,1153.190063
0.138153508,1155.432617
0.140037924,1157.661499
0.14194648,1159.873657
0.143879101,1162.053955
0.145835266,1164.260986
0.147817001,1166.445435
0.149823621,1168.602539
0.151855066,1170.786499
0.153913364,1172.899536
0.15599677,1175.036621
0.158107206,1177.145752
0.160244122,1179.236572
0.162407741,1181.334717
0.16459924,1183.383545
0.166817501,1185.457642
0.169064611,1187.473633
0.171339139,1189.505981
0.173642784,1191.498169
0.175555363,1193.127808
