,frame_id,sim_time,Sim_Strain,Sim_Stress
0,0,0.0,0.0,0.0
1,1,0.10000000149,9.655546238490651e-17,16.218336426004733
2,2,0.20000000298,1.9421134507923731e-16,32.44158351358667
3,3,0.34999999404,2.9008313877277816e-16,56.78566346719749
4,4,0.574999988079,3.8600689353016025e-16,93.33536263464198
5,5,0.912500023842,4.81953560689608e-16,148.245177582213
6,6,1.41875004768,5.778472294462867e-16,230.80636693374495
7,7,2.17812490463,6.737408927484115e-16,355.0543306926573
8,8,2.74765634537,1.302733162988299e-12,448.50924670691495
9,9,2.96123051643,2.0442106200929628e-07,510.9947252859971
10,10,3.12141108513,5.799767514361753e-05,577.3356449967163
11,11,3.24154663086,0.00023413148047558897,611.7769751106229
12,12,3.42174983025,0.0006522486381961441,645.6207659210249
13,13,3.69205474854,0.001467661219519252,681.7420405062112
14,14,3.89478349686,0.0025989710950651917,701.606576462734
15,15,4.19887638092,0.004220081813542889,721.9748986251976
16,16,4.42694616318,0.006213323615579811,734.4541413949133
17,17,4.59799861908,0.008685115741058373,751.3030326191945
18,18,4.66214323044,0.011620097876482004,767.7273128525053
19,19,4.75835990906,0.015283412356878637,780.9764054740087
20,20,4.83052253723,0.019496289454072276,789.9144891731331
21,21,4.93876647949,0.024534667656585508,801.8730622650637
22,22,5.10113286972,0.030814244662520005,817.4189096154274
23,23,5.34468173981,0.03895910834838095,836.0718161950964
24,24,5.52734375,0.04850874539469385,848.4880052527798
25,25,5.80133628845,0.06016696628504957,865.0503526121444
26,26,6.21232557297,0.07499741383801768,887.7480159118495
27,27,6.52056741714,0.09222014978366858,904.0022422556979
28,28,6.98292970657,0.11303256178617668,927.0869827525028
29,29,7.67647409439,0.13941932794533363,961.4383645413488
30,30,8.19663238525,0.17004749468034625,986.302586758148
31,31,8.97686862946,0.20703650416847605,1021.6438023171401
32,32,9.5620470047,0.2488403754112452,1047.5542492460556
33,33,10.4398136139,0.29786373047132053,1084.9942935052588
34,34,11.0981388092,0.35233263330181996,1112.5318965413178
35,35,11.5918827057,0.41085597031806487,1132.3333533321832
36,36,12.3324975967,0.47545725759779683,1159.5925635092146
37,37,12.8879594803,0.544656732242754,1178.4614072170473
38,38,13.7211523056,0.6207514731733172,1204.5449099174507
39,39,14.3460464478,0.7020690629775961,1223.624538398119
40,40,15.2833881378,0.7912199934670264,1250.2036032716583
41,41,16.6894016266,0.8922604548410878,1288.3034457437184
42,42,18.7984199524,1.0113853858080655,1341.9134281240324
43,43,19.589302063,1.1375870646118407,1362.8812940698517
44,44,20.7756252289,1.2741733647914641,1388.2831932362703
45,45,21.6653671265,1.4188833759664614,1408.6066019522098
46,46,22.9999809265,1.5758438844349487,1436.2424147696381
47,47,24.0009403229,1.742155409406749,1457.105443333679
48,48,25.5023803711,1.922512874449246,1485.4759255126776
49,49,26.6284599304,2.113961322370019,1507.907354154243
50,50,27.4730205536,2.313932714896753,1524.1979910432367
51,51,28.7398605347,2.526713104684054,1545.0330796940555
52,52,29.6899909973,2.7492763914959943,1560.5164432603194
53,53,31.1151866913,2.986689943915205,1580.8405984207825
54,54,32.1840820312,3.2360513648972535,1598.5225359524898
55,55,33.7874259949,3.5034153950200513,1619.9537879233599
56,56,36.1924438477,3.798500723533267,1650.2914150805689
57,57,37.0943260193,4.105226144230897,1669.0792975897916
58,58,38.4471473694,4.429040778842669,1687.544272951976
59,59,38.9544563293,4.759487682825471,1696.5258111649139
60,60,39.7154159546,5.099742562677654,1705.6607114907895
61,61,40.8568611145,5.454851783021488,1719.619683688258
62,62,41.7129440308,5.822101108458886,1734.0395431910881
63,63,42.9970664978,6.207727093163894,1752.3594191598916
64,64,43.9601593018,6.6074769213184235,1767.3540008540965
65,65,44.6824798584,7.017924599539333,1777.3165179326163
66,66,45.7659606934,7.444482169138526,1789.78063522113
67,67,46.5785713196,7.884110999220153,1801.8156647630735
68,68,47.7974853516,8.343678218282792,1815.1637445422516
69,69,49.6258544922,8.833739838212672,1832.2503772407501
